     0.280     0.996     0.004     1.000
     2.164     0.067     0.933     2.000
     1.596     0.460     0.540     2.000
     2.267     0.044     0.956     2.000
     2.118     0.080     0.920     2.000
     1.740     0.313     0.687     2.000
     0.920     0.942     0.058     1.000
     1.385     0.681     0.319     1.000
     1.971     0.143     0.857     2.000
     2.608     0.010     0.990     2.000
     0.125     0.998     0.002     1.000
     2.642     0.009     0.991     2.000
     2.300     0.038     0.962     2.000
     1.108     0.877     0.123     1.000
     2.015     0.121     0.879     2.000
     2.565     0.012     0.988     2.000
     0.061     0.999     0.001     1.000
     0.907     0.945     0.055     1.000
     2.647     0.009     0.991     2.000
     1.393     0.674     0.326     1.000
     2.442     0.021     0.979     2.000
     1.652     0.400     0.600     2.000
     3.042     0.002     0.998     2.000
     0.665     0.980     0.020     1.000
     2.969     0.002     0.998     2.000
     2.747     0.006     0.994     2.000
     2.258     0.045     0.955     2.000
     0.499     0.990     0.010     1.000
     1.555     0.504     0.496     1.000
     2.839     0.004     0.996     2.000
     2.754     0.005     0.995     2.000
     2.429     0.022     0.978     2.000
     2.822     0.004     0.996     2.000
     0.825     0.961     0.039     1.000
     0.497     0.990     0.010     1.000
    -0.046     0.999     0.001     1.000
     2.104     0.085     0.915     2.000
     0.789     0.966     0.034     1.000
     1.793     0.266     0.734     2.000
     1.958     0.150     0.850     2.000
     3.013     0.002     0.998     2.000
     2.100     0.086     0.914     2.000
     1.979     0.138     0.862     2.000
     3.068     0.001     0.999     2.000
     1.357     0.707     0.293     1.000
     2.218     0.054     0.946     2.000
     2.551     0.013     0.987     2.000
     2.631     0.009     0.991     2.000
     1.296     0.760     0.240     1.000
     1.192     0.832     0.168     1.000
     1.305     0.752     0.248     1.000
     2.518     0.015     0.985     2.000
     2.537     0.014     0.986     2.000
     2.821     0.004     0.996     2.000
     1.379     0.687     0.313     1.000
     1.169     0.846     0.154     1.000
     1.931     0.165     0.835     2.000
     2.234     0.050     0.950     2.000
     0.975     0.928     0.072     1.000
     3.239     0.001     0.999     2.000
     1.702     0.349     0.651     2.000
     1.712     0.340     0.660     2.000
     2.947     0.002     0.998     2.000
     0.349     0.995     0.005     1.000
     1.321     0.739     0.261     1.000
     2.976     0.002     0.998     2.000
    -0.149     0.999     0.001     1.000
     3.037     0.002     0.998     2.000
     1.664     0.388     0.612     2.000
     2.799     0.004     0.996     2.000
     2.881     0.003     0.997     2.000
     1.119     0.872     0.128     1.000
     0.481     0.991     0.009     1.000
     2.245     0.048     0.952     2.000
     0.318     0.996     0.004     1.000
     2.690     0.007     0.993     2.000
     3.224     0.001     0.999     2.000
     1.009     0.917     0.083     1.000
     1.716     0.335     0.665     2.000
     2.448     0.020     0.980     2.000
     1.945     0.157     0.843     2.000
     2.352     0.031     0.969     2.000
     1.312     0.747     0.253     1.000
    -0.220     1.000     0.000     1.000
     1.816     0.246     0.754     2.000
     2.157     0.069     0.931     2.000
     2.298     0.038     0.962     2.000
     1.797     0.262     0.738     2.000
     1.469     0.597     0.403     1.000
     0.266     0.996     0.004     1.000
     0.302     0.996     0.004     1.000
     1.231     0.807     0.193     1.000
     3.179     0.001     0.999     2.000
     0.730     0.974     0.026     1.000
     2.700     0.007     0.993     2.000
     1.885     0.195     0.805     2.000
     2.479     0.018     0.982     2.000
     2.057     0.102     0.898     2.000
     1.609     0.446     0.554     2.000
     3.018     0.002     0.998     2.000
     0.698     0.977     0.023     1.000
     2.918     0.003     0.997     2.000
     1.979     0.138     0.862     2.000
     1.936     0.162     0.838     2.000
     2.466     0.019     0.981     2.000
     2.905     0.003     0.997     2.000
     0.701     0.977     0.023     1.000
     1.978     0.139     0.861     2.000
     1.960     0.148     0.852     2.000
     2.190     0.060     0.940     2.000
     0.955     0.933     0.067     1.000
     0.765     0.970     0.030     1.000
     2.352     0.031     0.969     2.000
     2.085     0.092     0.908     2.000
     0.035     0.999     0.001     1.000
     0.544     0.988     0.012     1.000
    -0.449     1.000     0.000     1.000
     1.148     0.857     0.143     1.000
     2.381     0.027     0.973     2.000
     1.231     0.807     0.193     1.000
     2.552     0.013     0.987     2.000
     2.091     0.090     0.910     2.000
     3.012     0.002     0.998     2.000
     1.152     0.855     0.145     1.000
     2.608     0.010     0.990     2.000
     1.468     0.599     0.401     1.000
     2.024     0.117     0.883     2.000
    -0.768     1.000     0.000     1.000
     1.541     0.520     0.480     1.000
     2.277     0.042     0.958     2.000
     2.930     0.003     0.997     2.000
     1.376     0.690     0.310     1.000
     2.021     0.118     0.882     2.000
    -0.075     0.999     0.001     1.000
     2.642     0.009     0.991     2.000
     1.706     0.345     0.655     2.000
     2.297     0.039     0.961     2.000
     2.138     0.074     0.926     2.000
     0.483     0.991     0.009     1.000
     0.824     0.961     0.039     1.000
     1.632     0.421     0.579     2.000
     1.221     0.814     0.186     1.000
     1.457     0.609     0.391     1.000
     2.681     0.007     0.993     2.000
     2.013     0.122     0.878     2.000
     2.341     0.032     0.968     2.000
     0.751     0.971     0.029     1.000
     2.714     0.006     0.994     2.000
     1.578     0.479     0.521     2.000
     0.439     0.992     0.008     1.000
     2.438     0.021     0.979     2.000
     3.189     0.001     0.999     2.000
     0.989     0.923     0.077     1.000
     2.234     0.050     0.950     2.000
     2.822     0.004     0.996     2.000
     1.547     0.513     0.487     1.000
     1.249     0.795     0.205     1.000
     1.355     0.709     0.291     1.000
     2.054     0.104     0.896     2.000
     1.216     0.817     0.183     1.000
     2.906     0.003     0.997     2.000
     2.808     0.004     0.996     2.000
     2.798     0.005     0.995     2.000
     2.354     0.030     0.970     2.000
     1.271     0.779     0.221     1.000
     1.980     0.138     0.862     2.000
     2.239     0.049     0.951     2.000
     0.735     0.973     0.027     1.000
     2.498     0.016     0.984     2.000
     2.580     0.012     0.988     2.000
     1.572     0.486     0.514     2.000
     2.643     0.009     0.991     2.000
     2.269     0.043     0.957     2.000
     1.910     0.178     0.822     2.000
     2.406     0.024     0.976     2.000
     1.135     0.864     0.136     1.000
     3.012     0.002     0.998     2.000
     1.387     0.679     0.321     1.000
     2.647     0.009     0.991     2.000
     0.514     0.990     0.010     1.000
     0.129     0.998     0.002     1.000
     1.102     0.880     0.120     1.000
     2.518     0.015     0.985     2.000
     1.330     0.731     0.269     1.000
     3.417     0.000     1.000     2.000
     2.673     0.008     0.992     2.000
     1.153     0.854     0.146     1.000
     1.078     0.891     0.109     1.000
     0.654     0.981     0.019     1.000
     2.481     0.018     0.982     2.000
     2.765     0.005     0.995     2.000
     0.659     0.981     0.019     1.000
     2.706     0.007     0.993     2.000
     1.456     0.611     0.389     1.000
     0.877     0.951     0.049     1.000
     2.581     0.012     0.988     2.000
     1.484     0.582     0.418     1.000
     0.884     0.950     0.050     1.000
     1.486     0.580     0.420     1.000
     0.802     0.965     0.035     1.000
     1.495     0.569     0.431     1.000
     0.906     0.945     0.055     1.000
     3.371     0.000     1.000     2.000
     0.914     0.943     0.057     1.000
     2.721     0.006     0.994     2.000
     0.751     0.971     0.029     1.000
     0.579     0.986     0.014     1.000
     2.321     0.035     0.965     2.000
     1.796     0.263     0.737     2.000
     2.616     0.010     0.990     2.000
     2.422     0.023     0.977     2.000
     0.784     0.967     0.033     1.000
     0.340     0.995     0.005     1.000
     1.339     0.723     0.277     1.000
     0.441     0.992     0.008     1.000
     0.868     0.953     0.047     1.000
     2.457     0.020     0.980     2.000
     0.397     0.994     0.006     1.000
     2.698     0.007     0.993     2.000
     1.879     0.199     0.801     2.000
     0.501     0.990     0.010     1.000
     1.528     0.535     0.465     1.000
     1.225     0.811     0.189     1.000
     2.554     0.013     0.987     2.000
     1.183     0.838     0.162     1.000
     2.691     0.007     0.993     2.000
     1.034     0.908     0.092     1.000
     1.119     0.872     0.128     1.000
     1.056     0.900     0.100     1.000
     2.032     0.113     0.887     2.000
     1.222     0.813     0.187     1.000
     3.023     0.002     0.998     2.000
     1.240     0.801     0.199     1.000
     2.218     0.054     0.946     2.000
     2.197     0.058     0.942     2.000
     2.897     0.003     0.997     2.000
     2.058     0.102     0.898     2.000
     0.370     0.994     0.006     1.000
     0.470     0.991     0.009     1.000
     2.337     0.033     0.967     2.000
     2.202     0.057     0.943     2.000
     2.657     0.008     0.992     2.000
     1.976     0.140     0.860     2.000
     0.537     0.989     0.011     1.000
     0.852     0.956     0.044     1.000
     2.189     0.060     0.940     2.000
     3.097     0.001     0.999     2.000
     1.522     0.540     0.460     1.000
     2.569     0.012     0.988     2.000
     2.657     0.008     0.992     2.000
     1.232     0.806     0.194     1.000
     1.663     0.389     0.611     2.000
     2.041     0.109     0.891     2.000
     2.057     0.103     0.897     2.000
     0.960     0.932     0.068     1.000
     1.684     0.368     0.632     2.000
     1.436     0.632     0.368     1.000
     2.331     0.033     0.967     2.000
     2.509     0.016     0.984     2.000
    -0.043     0.999     0.001     1.000
     1.076     0.892     0.108     1.000
     1.306     0.751     0.249     1.000
     1.377     0.689     0.311     1.000
     3.014     0.002     0.998     2.000
     1.130     0.867     0.133     1.000
     1.158     0.852     0.148     1.000
     1.595     0.461     0.539     2.000
     0.395     0.994     0.006     1.000
     3.314     0.000     1.000     2.000
     1.562     0.498     0.502     2.000
     2.525     0.015     0.985     2.000
     0.338     0.995     0.005     1.000
     2.680     0.007     0.993     2.000
     0.707     0.976     0.024     1.000
     2.461     0.019     0.981     2.000
     0.808     0.964     0.036     1.000
     0.962     0.931     0.069     1.000
     1.047     0.903     0.097     1.000
     2.421     0.023     0.977     2.000
     3.299     0.001     0.999     2.000
     1.326     0.735     0.265     1.000
     0.692     0.978     0.022     1.000
     1.241     0.801     0.199     1.000
     0.265     0.996     0.004     1.000
     0.704     0.977     0.023     1.000
     1.590     0.467     0.533     2.000
     2.666     0.008     0.992     2.000
     2.136     0.075     0.925     2.000
     1.608     0.447     0.553     2.000
     1.055     0.900     0.100     1.000
     0.995     0.922     0.078     1.000
